,ID,Destination,Reason for Leaving,Entry_Date,Exit_Date,Duration
18819142,455112,With family temporarily,Other,2017-05-16,2017-05-22,6 
18819166,455112,With family temporarily,Other,2017-06-25,2017-07-26,31 
18819190,455112,Medical facility,Other,2017-08-08,2017-09-03,26 
18819358,270571,With family permanently,Completed program,2017-05-16,2017-08-09,85 
18819387,270571,Incarcerated,Criminal activity / violence,2017-10-10,2018-01-12,94 
18819416,270571,Client rental with other subsidy,Left for housing opp. before completing program,2018-02-05,2018-02-07,2 
18820347,110903,With friends temporarily,Criminal activity / violence,2017-05-16,2017-11-07,175 
18820355,171340,Place not meant for habitation,Criminal activity / violence,2017-05-15,2017-06-05,21 
18820364,441891,Client rental with RRH subsidy,Completed program,2017-03-17,2017-11-19,247 
18820372,455181,With family temporarily,Other,2017-05-17,2017-05-21,4 
18820380,447760,With family temporarily,Other,2017-05-15,2017-05-30,15 
18822025,452667,With family temporarily,Other,2017-05-10,2017-06-16,37 
18822033,455254,Client rental without subsidy,Completed program,2017-05-18,2017-10-06,141 
18822049,455254,Client rental with other subsidy,Completed program,2017-11-09,2018-02-07,90 
18822161,222747,Permanent housing for formerly homeless,Left for housing opp. before completing program,2016-08-24,2016-09-13,20 
18825060,168637,Data not collected,Unknown/Disappeared,2016-08-05,2016-10-24,80 
18825108,168637,No exit interview,Unknown/Disappeared,2016-11-06,2016-12-12,36 
18825156,168637,Place not meant for habitation,Non-compliance with program,2017-06-15,2017-10-21,128 
18825204,168637,Medical facility,Non-compliance with program,2017-12-22,2018-05-11,140 
18825252,168637,With friends temporarily,Non-compliance with program,2018-05-15,2018-07-07,53 
18825300,168637,,,2019-09-25,,
18825636,168637,Data not collected,Unknown/Disappeared,2016-08-05,2016-10-24,80 
18825684,168637,No exit interview,Unknown/Disappeared,2016-11-06,2016-12-12,36 
18825732,168637,Place not meant for habitation,Non-compliance with program,2017-06-15,2017-10-21,128 
18825780,168637,Medical facility,Non-compliance with program,2017-12-22,2018-05-11,140 
18825828,168637,With friends temporarily,Non-compliance with program,2018-05-15,2018-07-07,53 
18825876,168637,,,2019-09-25,,
18826500,168637,Data not collected,Unknown/Disappeared,2016-08-05,2016-10-24,80 
18826548,168637,No exit interview,Unknown/Disappeared,2016-11-06,2016-12-12,36 
18826596,168637,Place not meant for habitation,Non-compliance with program,2017-06-15,2017-10-21,128 
18826644,168637,Medical facility,Non-compliance with program,2017-12-22,2018-05-11,140 
18826692,168637,With friends temporarily,Non-compliance with program,2018-05-15,2018-07-07,53 
18826740,168637,,,2019-09-25,,
18826788,455775,With family permanently,Left for housing opp. before completing program,2017-05-22,2017-05-23,1 
18826796,454481,With family temporarily,Other,2017-05-22,2017-05-30,8 
18826804,214111,With family temporarily,Other,2017-05-23,2017-07-04,42 
18826812,455776,With family temporarily,Other,2017-05-23,2017-05-26,3 
18826828,455776,No exit interview,Unknown/Disappeared,2017-06-20,2017-10-03,105 
18826876,338653,With family temporarily,Other,2017-05-23,2017-06-13,21 
18826884,455774,With friends temporarily,Other,2017-05-22,2017-08-01,71 
18853388,322898,No exit interview,Unknown/Disappeared,2016-05-16,2016-12-18,216 
18853454,322898,With friends temporarily,Other,2017-05-30,2017-06-05,6 
18853520,322898,Client rental without subsidy,Completed program,2017-09-27,2017-10-16,19 
18853586,322898,With family permanently,Left for housing opp. before completing program,2017-10-24,2017-11-03,10 
18853652,322898,Client rental with other subsidy,Completed program,2018-05-03,2018-10-02,152 
18853718,322898,,,2019-05-06,,
18853784,322898,No exit interview,Unknown/Disappeared,2016-05-16,2016-12-18,216 
18853850,322898,With friends temporarily,Other,2017-05-30,2017-06-05,6 
18853916,322898,Client rental without subsidy,Completed program,2017-09-27,2017-10-16,19 
18853982,322898,With family permanently,Left for housing opp. before completing program,2017-10-24,2017-11-03,10 
18854048,322898,Client rental with other subsidy,Completed program,2018-05-03,2018-10-02,152 
18854114,322898,,,2019-05-06,,
18855368,322898,No exit interview,Unknown/Disappeared,2016-05-16,2016-12-18,216 
18855434,322898,With friends temporarily,Other,2017-05-30,2017-06-05,6 
18855500,322898,Client rental without subsidy,Completed program,2017-09-27,2017-10-16,19 
18855566,322898,With family permanently,Left for housing opp. before completing program,2017-10-24,2017-11-03,10 
18855632,322898,Client rental with other subsidy,Completed program,2018-05-03,2018-10-02,152 
18855698,322898,,,2019-05-06,,
18855764,376327,With family temporarily,Other,2017-05-30,2017-06-19,20 
18855781,376327,No exit interview,Unknown/Disappeared,2018-06-18,2018-06-30,12 
18855798,376327,With family temporarily,Other,2017-05-30,2017-06-19,20 
18855815,376327,No exit interview,Unknown/Disappeared,2018-06-18,2018-06-30,12 
18855832,455876,With family temporarily,Other,2017-05-30,2017-06-09,10 
18856416,208057,With family temporarily,Other,2017-03-20,2017-04-11,22 
18856440,208057,With family temporarily,Other,2017-06-01,2017-06-05,4 
18856464,208057,With family temporarily,Other,2017-06-19,2017-06-21,2 
18858829,169008,Medical facility,Other,2016-11-14,2017-05-18,185 
18858861,169008,With family temporarily,Other,2017-05-30,2017-06-02,3 
18858893,169008,Medical facility,Other,2017-06-04,2017-06-30,26 
18858925,169008,Deceased,Death,2017-07-20,2017-10-08,80 
18897933,194903,Client rental without subsidy,Left for housing opp. before completing program,2015-08-13,2015-09-19,37 
18897981,194903,With family temporarily,Other,2017-06-05,2017-06-09,4 
18898029,194903,No exit interview,Non-compliance with program,2017-06-13,2017-10-21,130 
18898077,194903,With friends permanently,Left for housing opp. before completing program,2018-07-04,2018-07-21,17 
18898125,194903,With family temporarily,Non-compliance with program,2019-05-11,2019-06-01,21 
18898173,194903,With friends permanently,Left for housing opp. before completing program,2019-08-12,2019-09-02,21 
18898221,194903,Client rental without subsidy,Left for housing opp. before completing program,2015-08-13,2015-09-19,37 
18898269,194903,With family temporarily,Other,2017-06-05,2017-06-09,4 
18898317,194903,No exit interview,Non-compliance with program,2017-06-13,2017-10-21,130 
18898365,194903,With friends permanently,Left for housing opp. before completing program,2018-07-04,2018-07-21,17 
18898413,194903,With family temporarily,Non-compliance with program,2019-05-11,2019-06-01,21 
18898461,194903,With friends permanently,Left for housing opp. before completing program,2019-08-12,2019-09-02,21 
18898797,194903,Client rental without subsidy,Left for housing opp. before completing program,2015-08-13,2015-09-19,37 
18898845,194903,With family temporarily,Other,2017-06-05,2017-06-09,4 
18898893,194903,No exit interview,Non-compliance with program,2017-06-13,2017-10-21,130 
18898941,194903,With friends permanently,Left for housing opp. before completing program,2018-07-04,2018-07-21,17 
18898989,194903,With family temporarily,Non-compliance with program,2019-05-11,2019-06-01,21 
18899037,194903,With friends permanently,Left for housing opp. before completing program,2019-08-12,2019-09-02,21 
18899661,456554,With family temporarily,Other,2017-06-02,2017-07-17,45 
18899677,456554,Client rental without subsidy,Completed program,2017-07-20,2017-11-18,121 
18921677,444293,Data not collected,Other,2017-06-09,2017-07-20,41 
18921709,444293,With family temporarily,Other,2017-07-09,2017-08-02,24 
18921741,444293,Client rental without subsidy,Non-compliance with program,2017-08-08,2017-08-21,13 
18921773,444293,,,2019-06-30,,
18921805,444293,Data not collected,Other,2017-06-09,2017-07-20,41 
18921837,444293,With family temporarily,Other,2017-07-09,2017-08-02,24 
18921869,444293,Client rental without subsidy,Non-compliance with program,2017-08-08,2017-08-21,13 
18921901,444293,,,2019-06-30,,
18922061,444293,Data not collected,Other,2017-06-09,2017-07-20,41 
18922093,444293,With family temporarily,Other,2017-07-09,2017-08-02,24 
18922125,444293,Client rental without subsidy,Non-compliance with program,2017-08-08,2017-08-21,13 
18922157,444293,,,2019-06-30,,
18922189,456628,With family temporarily,Other,2017-06-09,2017-07-17,38 
18922205,456628,Client rental with RRH subsidy,Completed program,2017-07-20,2017-11-21,124 
18922253,109426,With friends temporarily,Other,2016-04-11,2016-04-27,16 
18922351,109426,No exit interview,Unknown/Disappeared,2016-08-10,2016-12-05,117 
18922449,109426,Client rental without subsidy,Left for housing opp. before completing program,2017-06-15,2017-09-01,78 
18922547,109426,No exit interview,Unknown/Disappeared,2019-05-28,2019-10-02,127 
18922645,109426,,,2019-10-23,,
18922841,109426,With friends temporarily,Other,2016-04-11,2016-04-27,16 
18922939,109426,No exit interview,Unknown/Disappeared,2016-08-10,2016-12-05,117 
18923037,109426,Client rental without subsidy,Left for housing opp. before completing program,2017-06-15,2017-09-01,78 
18923135,109426,No exit interview,Unknown/Disappeared,2019-05-28,2019-10-02,127 
18923233,109426,,,2019-10-23,,
18924017,109426,With friends temporarily,Other,2016-04-11,2016-04-27,16 
18924115,109426,No exit interview,Unknown/Disappeared,2016-08-10,2016-12-05,117 
18924213,109426,Client rental without subsidy,Left for housing opp. before completing program,2017-06-15,2017-09-01,78 
18924311,109426,No exit interview,Unknown/Disappeared,2019-05-28,2019-10-02,127 
18924409,109426,,,2019-10-23,,
18924605,109426,With friends temporarily,Other,2016-04-11,2016-04-27,16 
18924703,109426,No exit interview,Unknown/Disappeared,2016-08-10,2016-12-05,117 
18924801,109426,Client rental without subsidy,Left for housing opp. before completing program,2017-06-15,2017-09-01,78 
18924899,109426,No exit interview,Unknown/Disappeared,2019-05-28,2019-10-02,127 
18924997,109426,,,2019-10-23,,
18927581,364437,With family temporarily,Other,2017-06-12,2017-06-16,4 
18927589,288078,With friends temporarily,Other,2015-08-17,2015-10-14,58 
18927633,288078,With friends temporarily,Other,2015-10-30,2015-11-02,3 
18927677,288078,With friends temporarily,Other,2015-11-17,2015-12-03,16 
18927721,288078,With family temporarily,Other,2017-06-13,2017-07-05,22 
18927941,288078,With friends temporarily,Other,2015-08-17,2015-10-14,58 
18927985,288078,With friends temporarily,Other,2015-10-30,2015-11-02,3 
18928029,288078,With friends temporarily,Other,2015-11-17,2015-12-03,16 
18928073,288078,With family temporarily,Other,2017-06-13,2017-07-05,22 
18930598,204335,Permanent housing for formerly homeless,Left for housing opp. before completing program,2015-10-22,2015-12-03,42 
18930622,204335,With family temporarily,Other,2017-06-16,2017-07-18,32 
18930646,204335,With friends temporarily,Non-compliance with program,2018-07-18,2019-07-20,367 
18930670,204335,Permanent housing for formerly homeless,Left for housing opp. before completing program,2015-10-22,2015-12-03,42 
18930694,204335,With family temporarily,Other,2017-06-16,2017-07-18,32 
18930718,204335,With friends temporarily,Non-compliance with program,2018-07-18,2019-07-20,367 
18930742,204335,Permanent housing for formerly homeless,Left for housing opp. before completing program,2015-10-22,2015-12-03,42 
18930766,204335,With family temporarily,Other,2017-06-16,2017-07-18,32 
18930790,204335,With friends temporarily,Non-compliance with program,2018-07-18,2019-07-20,367 
18930814,186698,With family temporarily,Other,2017-06-20,2017-07-15,25 
18934918,322898,No exit interview,Unknown/Disappeared,2016-05-16,2016-12-18,216 
18934984,322898,With friends temporarily,Other,2017-05-30,2017-06-05,6 
18935050,322898,Client rental without subsidy,Completed program,2017-09-27,2017-10-16,19 
18935116,322898,With family permanently,Left for housing opp. before completing program,2017-10-24,2017-11-03,10 
18935182,322898,Client rental with other subsidy,Completed program,2018-05-03,2018-10-02,152 
18935248,322898,,,2019-05-06,,
18935314,322898,No exit interview,Unknown/Disappeared,2016-05-16,2016-12-18,216 
18935380,322898,With friends temporarily,Other,2017-05-30,2017-06-05,6 
18935446,322898,Client rental without subsidy,Completed program,2017-09-27,2017-10-16,19 
18935512,322898,With family permanently,Left for housing opp. before completing program,2017-10-24,2017-11-03,10 
18935578,322898,Client rental with other subsidy,Completed program,2018-05-03,2018-10-02,152 
18935644,322898,,,2019-05-06,,
18936898,322898,No exit interview,Unknown/Disappeared,2016-05-16,2016-12-18,216 
18936964,322898,With friends temporarily,Other,2017-05-30,2017-06-05,6 
18937030,322898,Client rental without subsidy,Completed program,2017-09-27,2017-10-16,19 
18937096,322898,With family permanently,Left for housing opp. before completing program,2017-10-24,2017-11-03,10 
18937162,322898,Client rental with other subsidy,Completed program,2018-05-03,2018-10-02,152 
18937228,322898,,,2019-05-06,,
18937510,217775,With friends temporarily,Other,2015-11-02,2015-11-03,1 
18937526,217775,With family temporarily,Other,2017-06-13,2017-07-02,19 
18937542,217775,With friends temporarily,Other,2015-11-02,2015-11-03,1 
18937558,217775,With family temporarily,Other,2017-06-13,2017-07-02,19 
18937574,457200,Medical facility,Other,2017-06-14,2017-06-23,9 
18937590,457200,With family temporarily,Other,2017-06-30,2017-07-26,26 
18937638,435077,With family temporarily,Other,2016-08-11,2017-05-12,274 
18937670,435077,With family temporarily,Other,2017-06-11,2017-06-24,13 
18937702,435077,Client rental with other subsidy,Completed program,2018-05-21,2019-02-08,263 
18937734,435077,With family temporarily,Other,2016-08-11,2017-05-12,274 
18937766,435077,With family temporarily,Other,2017-06-11,2017-06-24,13 
18937798,435077,Client rental with other subsidy,Completed program,2018-05-21,2019-02-08,263 
18937830,435077,With family temporarily,Other,2016-08-11,2017-05-12,274 
18937862,435077,With family temporarily,Other,2017-06-11,2017-06-24,13 
18937894,435077,Client rental with other subsidy,Completed program,2018-05-21,2019-02-08,263 
18960390,457295,Client rental without subsidy,Left for housing opp. before completing program,2017-06-19,2017-06-30,11 
18960398,457390,With family permanently,Left for housing opp. before completing program,2017-06-22,2017-06-30,8 
18960422,457390,No exit interview,Unknown/Disappeared,2018-05-21,2018-05-23,2 
18960446,457390,Place not meant for habitation,Non-compliance with program,2018-11-30,2019-04-26,147 
18960470,457390,With family permanently,Left for housing opp. before completing program,2017-06-22,2017-06-30,8 
18960494,457390,No exit interview,Unknown/Disappeared,2018-05-21,2018-05-23,2 
18960518,457390,Place not meant for habitation,Non-compliance with program,2018-11-30,2019-04-26,147 
18960542,457390,With family permanently,Left for housing opp. before completing program,2017-06-22,2017-06-30,8 
18960566,457390,No exit interview,Unknown/Disappeared,2018-05-21,2018-05-23,2 
18960590,457390,Place not meant for habitation,Non-compliance with program,2018-11-30,2019-04-26,147 
18960614,457391,No exit interview,Unknown/Disappeared,2017-06-19,2017-11-21,155 
18960638,457391,With friends temporarily,Non-compliance with program,2018-05-01,2018-08-31,122 
18960662,457391,No exit interview,Unknown/Disappeared,2018-09-18,2019-04-09,203 
18960830,457072,Incarcerated,Other,2017-06-19,2017-06-30,11 
18960854,457072,With family temporarily,Other,2017-07-11,2017-07-17,6 
18960878,457072,With friends temporarily,Non-compliance with program,2017-07-18,2017-10-22,96 
18961046,200622,With friends permanently,Completed program,2017-06-19,2017-10-03,106 
18961054,457430,With family permanently,Left for housing opp. before completing program,2017-06-19,2017-06-30,11 
18961062,82223,With family temporarily,Other,2017-06-24,2017-06-27,3 
18961070,196391,With family temporarily,Other,2017-06-24,2017-06-26,2 
18961806,190363,Client rental with RRH subsidy,Completed program,2017-06-26,2017-12-14,171 
18961814,421698,Client rental with RRH subsidy,Completed program,2017-06-26,2017-12-15,172 
18961822,457559,With family temporarily,Other,2017-06-26,2017-06-27,1 
18961830,178324,With family temporarily,Other,2017-06-19,2017-06-30,11 
18961857,178324,With family permanently,Left for housing opp. before completing program,2017-07-01,2017-07-10,9 
18961884,178324,With family permanently,Left for housing opp. before completing program,2017-10-17,2017-11-21,35 
18962073,167933,With family temporarily,Other,2017-06-27,2017-07-04,7 
18962089,167933,Place not meant for habitation,Non-compliance with program,2017-07-31,2017-08-10,10 
18962137,457620,With family temporarily,Other,2017-06-27,2017-06-28,1 
18963873,208782,Client rental with other subsidy,Left for housing opp. before completing program,2017-06-28,2017-09-03,67 
18964946,382672,With friends temporarily,Other,2015-08-15,2015-11-13,90 
18964970,382672,With family temporarily,Other,2016-07-04,2017-06-30,361 
18964994,382672,With family temporarily,Other,2017-07-02,2017-07-31,29 
18965018,382672,With friends temporarily,Other,2015-08-15,2015-11-13,90 
18965042,382672,With family temporarily,Other,2016-07-04,2017-06-30,361 
18965066,382672,With family temporarily,Other,2017-07-02,2017-07-31,29 
18965162,457200,Medical facility,Other,2017-06-14,2017-06-23,9 
18965178,457200,With family temporarily,Other,2017-06-30,2017-07-26,26 
18965469,216784,With family temporarily,Other,2017-06-28,2017-07-07,9 
18965485,216784,Transitional homeless housing,Non-compliance with program,2018-10-09,2018-11-02,24 
18965597,189803,With family temporarily,Other,2017-02-06,2017-03-03,25 
18965642,189803,Medical facility,Other,2017-03-05,2017-05-04,60 
18965687,189803,With family temporarily,Other,2017-05-04,2017-06-30,57 
18965732,189803,Client rental without subsidy,Completed program,2017-07-02,2017-08-31,60 
18965777,189803,Client rental with other subsidy,Completed program,2018-08-04,2018-09-18,45 
18966497,189803,With family temporarily,Other,2017-02-06,2017-03-03,25 
18966542,189803,Medical facility,Other,2017-03-05,2017-05-04,60 
18966587,189803,With family temporarily,Other,2017-05-04,2017-06-30,57 
18966632,189803,Client rental without subsidy,Completed program,2017-07-02,2017-08-31,60 
18966677,189803,Client rental with other subsidy,Completed program,2018-08-04,2018-09-18,45 
18966722,249916,With family temporarily,Other,2016-08-29,2017-06-30,305 
18966762,249916,Medical facility,Other,2017-07-02,2017-07-05,3 
18966802,249916,Medical facility,Other,2017-07-15,2017-08-01,17 
18966842,249916,Client rental with RRH subsidy,Completed program,2017-08-15,2017-12-15,122 
18967202,249916,With family temporarily,Other,2016-08-29,2017-06-30,305 
18967242,249916,Medical facility,Other,2017-07-02,2017-07-05,3 
18967282,249916,Medical facility,Other,2017-07-15,2017-08-01,17 
18967322,249916,Client rental with RRH subsidy,Completed program,2017-08-15,2017-12-15,122 
18969090,398931,With friends permanently,Left for housing opp. before completing program,2015-08-15,2015-08-27,12 
18969122,398931,With friends temporarily,Other,2015-09-21,2015-11-03,43 
18969154,398931,Safe haven,Other,2015-11-07,2016-01-26,80 
18969186,398931,Client rental with RRH subsidy,Completed program,2017-06-30,2017-10-20,112 
18969602,458222,No exit interview,Unknown/Disappeared,2017-07-04,2017-10-07,95 
18969610,458219,With family temporarily,Other,2017-07-04,2017-07-18,14 
18969618,292185,With friends temporarily,Other,2016-02-01,2016-02-09,8 
18969674,292185,With friends temporarily,Other,2016-02-10,2016-03-11,30 
18969730,292185,With friends temporarily,Other,2016-03-21,2016-04-17,27 
18969786,292185,With friends temporarily,Other,2016-06-20,2016-06-27,7 
18969842,292185,With family temporarily,Other,2017-07-04,2017-07-15,11 
18969898,292185,With family temporarily,Other,2017-07-16,2017-08-01,16 
18969954,292185,With friends permanently,Left for housing opp. before completing program,2017-08-02,2017-09-11,40 
19011666,458220,With family temporarily,Other,2017-07-19,2017-08-02,14 
19011674,458217,With friends temporarily,Disagreement with rules/persons,2017-07-04,2017-08-25,52 
19011690,458217,Client rental without subsidy,Completed program,2018-01-22,2018-10-19,270 
19011738,123882,With friends temporarily,Other,2015-09-08,2015-09-29,21 
19011778,123882,With friends temporarily,Other,2015-10-02,2015-10-21,19 
19011818,123882,Client rental without subsidy,Left for housing opp. before completing program,2017-07-04,2017-07-19,15 
19011858,123882,Client rental without subsidy,Completed program,2017-08-07,2017-10-27,81 
19011898,123882,Client rental with other subsidy,Left for housing opp. before completing program,2019-05-02,2019-05-31,29 
19012138,123882,With friends temporarily,Other,2015-09-08,2015-09-29,21 
19012178,123882,With friends temporarily,Other,2015-10-02,2015-10-21,19 
19012218,123882,Client rental without subsidy,Left for housing opp. before completing program,2017-07-04,2017-07-19,15 
19012258,123882,Client rental without subsidy,Completed program,2017-08-07,2017-10-27,81 
19012298,123882,Client rental with other subsidy,Left for housing opp. before completing program,2019-05-02,2019-05-31,29 
19012538,123882,With friends temporarily,Other,2015-09-08,2015-09-29,21 
19012578,123882,With friends temporarily,Other,2015-10-02,2015-10-21,19 
19012618,123882,Client rental without subsidy,Left for housing opp. before completing program,2017-07-04,2017-07-19,15 
19012658,123882,Client rental without subsidy,Completed program,2017-08-07,2017-10-27,81 
19012698,123882,Client rental with other subsidy,Left for housing opp. before completing program,2019-05-02,2019-05-31,29 
19012738,458223,With friends temporarily,Disagreement with rules/persons,2017-07-04,2017-08-25,52 
19012746,421503,With family temporarily,Other,2017-07-04,2017-07-14,10 
19012778,421503,With family temporarily,Other,2017-07-16,2017-08-01,16 
19012810,421503,Incarcerated,Criminal activity / violence,2017-08-02,2017-09-08,37 
19012842,421503,No exit interview,Unknown/Disappeared,2017-10-20,2017-11-27,38 
19013258,458221,Incarcerated,Other,2017-07-18,2017-08-03,16 
19013266,458218,With family temporarily,Other,2017-07-18,2017-07-31,13 
19014274,341525,With friends temporarily,Other,2016-06-20,2016-06-28,8 
19014290,341525,With family temporarily,Other,2017-07-07,2017-07-12,5 
19014338,458308,Client rental without subsidy,Completed program,2017-07-07,2018-02-02,210 
19014346,458307,With family temporarily,Other,2017-07-07,2017-07-12,5 
19014354,296485,With family temporarily,Other,2017-07-10,2017-07-13,3 
19014404,296485,With family temporarily,Other,2017-07-24,2017-07-25,1 
19014454,296485,With family temporarily,Other,2017-07-24,2017-08-03,10 
19014504,296485,No exit interview,Unknown/Disappeared,2017-08-06,2017-08-29,23 
19014554,296485,No exit interview,Unknown/Disappeared,2019-04-25,2019-05-14,19 
19014604,296485,Place not meant for habitation,Non-compliance with program,2019-05-15,2019-06-01,17 
19014654,296485,No exit interview,Unknown/Disappeared,2019-08-26,2019-10-03,38 
19016104,296485,With family temporarily,Other,2017-07-10,2017-07-13,3 
19016154,296485,With family temporarily,Other,2017-07-24,2017-07-25,1 
19016204,296485,With family temporarily,Other,2017-07-24,2017-08-03,10 
19016254,296485,No exit interview,Unknown/Disappeared,2017-08-06,2017-08-29,23 
19016304,296485,No exit interview,Unknown/Disappeared,2019-04-25,2019-05-14,19 
19016354,296485,Place not meant for habitation,Non-compliance with program,2019-05-15,2019-06-01,17 
19016404,296485,No exit interview,Unknown/Disappeared,2019-08-26,2019-10-03,38 
19016454,296485,With family temporarily,Other,2017-07-10,2017-07-13,3 
19016504,296485,With family temporarily,Other,2017-07-24,2017-07-25,1 
19016554,296485,With family temporarily,Other,2017-07-24,2017-08-03,10 
19016604,296485,No exit interview,Unknown/Disappeared,2017-08-06,2017-08-29,23 
19016654,296485,No exit interview,Unknown/Disappeared,2019-04-25,2019-05-14,19 
19016704,296485,Place not meant for habitation,Non-compliance with program,2019-05-15,2019-06-01,17 
19016754,296485,No exit interview,Unknown/Disappeared,2019-08-26,2019-10-03,38 
19019548,458817,With friends permanently,Left for housing opp. before completing program,2017-07-14,2017-08-10,27 
19020068,454491,With family temporarily,Other,2017-05-04,2017-05-15,11 
19020092,454491,With family temporarily,Other,2017-07-12,2017-07-31,19 
19020116,454491,Client rental with other subsidy,Completed program,2017-08-02,2017-08-20,18 
19021356,458818,With family temporarily,Other,2017-07-17,2017-07-19,2 
19021364,274547,With family temporarily,Other,2017-07-16,2017-07-20,4 
19021390,274547,With family temporarily,Left for housing opp. before completing program,2017-12-10,2017-12-22,12 
19021416,274547,With family temporarily,Other,2017-07-16,2017-07-20,4 
19021442,274547,With family temporarily,Left for housing opp. before completing program,2017-12-10,2017-12-22,12 
19021980,124817,With friends temporarily,Other,2015-09-03,2015-09-08,5 
19022116,124817,With friends temporarily,Other,2016-02-22,2016-03-01,8 
19022252,124817,With friends temporarily,Other,2016-03-21,2016-03-22,1 
19022388,124817,With friends temporarily,Other,2016-05-11,2016-05-25,14 
19022524,124817,With friends temporarily,Other,2016-05-27,2016-05-30,3 
19022660,124817,With friends temporarily,Other,2016-05-31,2016-06-01,1 
19022796,124817,With friends temporarily,Other,2016-06-02,2016-06-05,3 
19022932,124817,Medical facility,Other,2016-06-08,2016-06-09,1 
19023068,124817,With friends temporarily,Other,2016-06-12,2016-06-13,1 
19023204,124817,With friends temporarily,Other,2016-06-15,2016-06-20,5 
19023340,124817,Data not collected,Unknown/Disappeared,2016-08-11,2016-08-29,18 
19023476,124817,With family temporarily,Other,2017-03-27,2017-03-29,2 
19023612,124817,With friends temporarily,Other,2017-04-04,2017-04-09,5 
19023748,124817,With family temporarily,Other,2017-04-17,2017-04-21,4 
19023884,124817,Medical facility,Other,2017-05-08,2017-05-30,22 
19024020,124817,With family temporarily,Other,2017-07-04,2017-07-12,8 
19024156,124817,With family temporarily,Other,2017-07-15,2017-07-20,5 
19024292,124817,With friends temporarily,Other,2015-09-03,2015-09-08,5 
19024428,124817,With friends temporarily,Other,2016-02-22,2016-03-01,8 
19024564,124817,With friends temporarily,Other,2016-03-21,2016-03-22,1 
19024700,124817,With friends temporarily,Other,2016-05-11,2016-05-25,14 
19024836,124817,With friends temporarily,Other,2016-05-27,2016-05-30,3 
19024972,124817,With friends temporarily,Other,2016-05-31,2016-06-01,1 
19025108,124817,With friends temporarily,Other,2016-06-02,2016-06-05,3 
19025244,124817,Medical facility,Other,2016-06-08,2016-06-09,1 
19025380,124817,With friends temporarily,Other,2016-06-12,2016-06-13,1 
19025516,124817,With friends temporarily,Other,2016-06-15,2016-06-20,5 
19025652,124817,Data not collected,Unknown/Disappeared,2016-08-11,2016-08-29,18 
19025788,124817,With family temporarily,Other,2017-03-27,2017-03-29,2 
19025924,124817,With friends temporarily,Other,2017-04-04,2017-04-09,5 
19026060,124817,With family temporarily,Other,2017-04-17,2017-04-21,4 
19026196,124817,Medical facility,Other,2017-05-08,2017-05-30,22 
19026332,124817,With family temporarily,Other,2017-07-04,2017-07-12,8 
19026468,124817,With family temporarily,Other,2017-07-15,2017-07-20,5 
19054348,124817,With friends temporarily,Other,2015-09-03,2015-09-08,5 
19054484,124817,With friends temporarily,Other,2016-02-22,2016-03-01,8 
19054620,124817,With friends temporarily,Other,2016-03-21,2016-03-22,1 
19054756,124817,With friends temporarily,Other,2016-05-11,2016-05-25,14 
19054892,124817,With friends temporarily,Other,2016-05-27,2016-05-30,3 
19055028,124817,With friends temporarily,Other,2016-05-31,2016-06-01,1 
19055164,124817,With friends temporarily,Other,2016-06-02,2016-06-05,3 
19055300,124817,Medical facility,Other,2016-06-08,2016-06-09,1 
19055436,124817,With friends temporarily,Other,2016-06-12,2016-06-13,1 
19055572,124817,With friends temporarily,Other,2016-06-15,2016-06-20,5 
19055708,124817,Data not collected,Unknown/Disappeared,2016-08-11,2016-08-29,18 
19055844,124817,With family temporarily,Other,2017-03-27,2017-03-29,2 
19055980,124817,With friends temporarily,Other,2017-04-04,2017-04-09,5 
19056116,124817,With family temporarily,Other,2017-04-17,2017-04-21,4 
19056252,124817,Medical facility,Other,2017-05-08,2017-05-30,22 
19056388,124817,With family temporarily,Other,2017-07-04,2017-07-12,8 
19056524,124817,With family temporarily,Other,2017-07-15,2017-07-20,5 
19061284,248566,With friends temporarily,Other,2015-12-28,2015-12-29,1 
19061324,248566,With friends temporarily,Other,2016-04-18,2016-04-19,1 
19061364,248566,With friends temporarily,Other,2016-05-30,2016-05-31,1 
19061404,248566,With family temporarily,Other,2016-09-08,2017-06-09,274 
19061444,248566,Place not meant for habitation,Non-compliance with program,2017-07-19,2017-09-11,54 
19061884,248566,With friends temporarily,Other,2015-12-28,2015-12-29,1 
19061924,248566,With friends temporarily,Other,2016-04-18,2016-04-19,1 
19061964,248566,With friends temporarily,Other,2016-05-30,2016-05-31,1 
19062004,248566,With family temporarily,Other,2016-09-08,2017-06-09,274 
19062044,248566,Place not meant for habitation,Non-compliance with program,2017-07-19,2017-09-11,54 
19063348,434858,With family temporarily,Other,2017-07-21,2017-07-26,5 
19063372,434858,With family temporarily,Other,2017-07-31,2017-08-03,3 
19063396,434858,No exit interview,Non-compliance with program,2017-08-04,2017-08-10,6 
19063564,301121,Client rental with other subsidy,Completed program,2016-06-06,2016-10-06,122 
19063591,301121,Client rental without subsidy,Completed program,2017-07-20,2017-07-28,8 
19063618,301121,Transitional homeless housing,Completed program,2018-11-15,2019-07-01,228 
19063645,301121,Client rental with other subsidy,Completed program,2016-06-06,2016-10-06,122 
19063672,301121,Client rental without subsidy,Completed program,2017-07-20,2017-07-28,8 
19063699,301121,Transitional homeless housing,Completed program,2018-11-15,2019-07-01,228 
19063726,301121,Client rental with other subsidy,Completed program,2016-06-06,2016-10-06,122 
